               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.031442,             0.02104,           0.0038195,                   0,                   0,                   0,                   0,                   0,          3.4571e-06,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.031907,            0.020453,           0.0039991,                   0,                   0,                   0,                   0,                   0,          6.0797e-06,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.032838,            0.021479,           0.0037993,                   0,                   0,                   0,                   0,                   0,          3.0398e-06,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.032624,            0.022115,            0.003906,                   0,                   0,                   0,                   0,                   0,          1.4901e-06,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.032339,            0.021348,           0.0039236,                   0,                   0,                   0,                   0,                   0,          5.3048e-06,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.032287,            0.020894,           0.0040608,                   0,                   0,                   0,                   0,                   0,          1.7226e-05,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.032494,            0.021269,           0.0039233,                   0,                   0,                   0,                   0,                   0,          4.1723e-06,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,             0.03144,            0.021049,           0.0038347,                   0,                   0,                   0,                   0,                   0,          9.2387e-06,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.032381,            0.021132,           0.0040068,                   0,                   0,                   0,                   0,                   0,          4.2379e-05,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.032057,            0.020739,           0.0041411,                   0,                   0,                   0,                   0,                   0,          1.9789e-05,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,             0.03133,            0.019829,           0.0040954,                   0,                   0,                   0,                   0,                   0,           1.061e-05,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.031076,            0.020525,           0.0040764,                   0,                   0,                   0,                   0,                   0,          2.3842e-06,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.031158,            0.020273,            0.003685,                   0,                   0,                   0,                   0,                   0,          1.6093e-06,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.030779,            0.020648,            0.003888,                   0,                   0,                   0,                   0,                   0,          5.9605e-07,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.030785,            0.020693,           0.0039497,                   0,                   0,                   0,                   0,                   0,          1.7881e-06,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.032812,            0.020542,           0.0035911,                   0,                   0,                   0,                   0,                   0,          1.0967e-05,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.032243,            0.020511,           0.0039478,                   0,                   0,                   0,                   0,                   0,          2.9802e-07,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.030538,            0.021541,           0.0037863,                   0,                   0,                   0,                   0,                   0,          8.2254e-06,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.031102,            0.020395,           0.0037724,                   0,                   0,                   0,                   0,                   0,          4.0472e-05,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.030954,            0.020267,           0.0036442,                   0,                   0,                   0,                   0,                   0,          1.5497e-06,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.031467,            0.020119,           0.0038469,                   0,                   0,                   0,                   0,                   0,          5.3644e-07,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.031335,            0.020254,           0.0035523,                   0,                   0,                   0,                   0,                   0,          1.1921e-06,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.030494,            0.020056,           0.0038028,                   0,                   0,                   0,                   0,                   0,          2.6822e-06,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.031769,            0.021706,           0.0036224,                   0,                   0,                   0,                   0,                   0,          4.5896e-06,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.030557,            0.019565,           0.0035649,                   0,                   0,                   0,                   0,                   0,          4.7684e-06,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.030193,             0.02029,           0.0039102,                   0,                   0,                   0,                   0,                   0,          1.5914e-05,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,             0.03059,            0.019217,           0.0034132,                   0,                   0,                   0,                   0,                   0,          2.9802e-06,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.030474,            0.019914,           0.0035876,                   0,                   0,                   0,                   0,                   0,          1.0729e-05,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.030907,            0.019671,           0.0037419,                   0,                   0,                   0,                   0,                   0,          2.2769e-05,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.029874,            0.020079,           0.0035665,                   0,                   0,                   0,                   0,                   0,          2.0027e-05,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.030772,            0.020244,           0.0036649,                   0,                   0,                   0,                   0,                   0,          3.5167e-05,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.030565,            0.020691,           0.0035608,                   0,                   0,                   0,                   0,                   0,          3.0398e-06,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.030522,            0.020375,           0.0037505,                   0,                   0,                   0,                   0,                   0,          6.4969e-06,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,             0.03021,            0.020113,           0.0036193,                   0,                   0,                   0,                   0,                   0,          1.3709e-06,                   0,            0.006931,            0.006931,            0.006931
                 157,            0.030593,            0.019664,           0.0034875,                   0,                   0,                   0,                   0,                   0,          1.4901e-06,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,            0.029998,             0.01938,            0.003609,                   0,                   0,                   0,                   0,                   0,          5.3644e-07,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,            0.029559,              0.0193,           0.0033878,                   0,                   0,                   0,                   0,                   0,          4.8876e-06,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,            0.029364,            0.019372,           0.0035112,                   0,                   0,                   0,                   0,                   0,          8.9407e-07,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,            0.030585,            0.020067,           0.0035266,                   0,                   0,                   0,                   0,                   0,          3.0398e-06,                   0,            0.006832,            0.006832,            0.006832
                 162,              0.0312,            0.019665,           0.0037181,                   0,                   0,                   0,                   0,                   0,           5.722e-06,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,            0.029483,             0.01923,            0.003574,                   0,                   0,                   0,                   0,                   0,          4.4584e-05,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,            0.030922,            0.019398,           0.0036446,                   0,                   0,                   0,                   0,                   0,          1.7345e-05,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,            0.029685,            0.019589,           0.0034614,                   0,                   0,                   0,                   0,                   0,          1.9968e-05,                   0,           0.0067528,           0.0067528,           0.0067528
                 166,            0.029096,            0.019862,            0.003562,                   0,                   0,                   0,                   0,                   0,          1.1802e-05,                   0,            0.006733,            0.006733,            0.006733
                 167,            0.030075,             0.02011,           0.0034982,                   0,                   0,                   0,                   0,                   0,          2.1994e-05,                   0,           0.0067132,           0.0067132,           0.0067132
                 168,            0.029833,            0.019817,           0.0037069,                   0,                   0,                   0,                   0,                   0,          4.0948e-05,                   0,           0.0066934,           0.0066934,           0.0066934
                 169,            0.028948,            0.019036,           0.0032915,                   0,                   0,                   0,                   0,                   0,          1.5199e-05,                   0,           0.0066736,           0.0066736,           0.0066736
                 170,            0.030275,            0.020212,           0.0034232,                   0,                   0,                   0,                   0,                   0,          5.9605e-06,                   0,           0.0066538,           0.0066538,           0.0066538
                 171,            0.028722,            0.019084,            0.003148,                   0,                   0,                   0,                   0,                   0,          1.0431e-05,                   0,            0.006634,            0.006634,            0.006634
                 172,            0.028688,            0.018668,           0.0031311,                   0,                   0,                   0,                   0,                   0,          6.3181e-06,                   0,           0.0066142,           0.0066142,           0.0066142
                 173,            0.029458,            0.019513,           0.0035049,                   0,                   0,                   0,                   0,                   0,          7.8678e-06,                   0,           0.0065944,           0.0065944,           0.0065944
                 174,            0.029028,            0.019536,           0.0033197,                   0,                   0,                   0,                   0,                   0,           4.673e-05,                   0,           0.0065746,           0.0065746,           0.0065746
                 175,            0.029391,            0.019451,           0.0032513,                   0,                   0,                   0,                   0,                   0,          5.3048e-05,                   0,           0.0065548,           0.0065548,           0.0065548
                 176,            0.029815,             0.01964,           0.0036557,                   0,                   0,                   0,                   0,                   0,          5.0664e-06,                   0,            0.006535,            0.006535,            0.006535
                 177,            0.028999,            0.019096,            0.003283,                   0,                   0,                   0,                   0,                   0,          6.0797e-06,                   0,           0.0065152,           0.0065152,           0.0065152
